url,title,age,views
https://www.youtube.com/watch?v=ws694xrKopA,"Can 50,000 Magnets Catch A Cannon Ball?",4 years ago,103M views
,,,
https://www.youtube.com/watch?v=UtnsWzaoRtg,World's Largest Game Of Dodgeball,4 years ago,74M views
,,,
https://www.youtube.com/watch?v=6wsFjjhZPJI,"Last To Leave Revolving Door Wins $50,000",4 years ago,140M views
,,,
https://www.youtube.com/watch?v=Rmf6T_Ewt38,Tipping Waitresses With Real Gold Bars,4 years ago,66M views
,,,
https://www.youtube.com/watch?v=n6qc4LHN2KQ,I Opened The World's First FREE Store,4 years ago,80M views
,,,
https://www.youtube.com/watch?v=2eFSU7TFOnk,Spending 24 Hours On Top Of A Mountain,4 years ago,164M views
,,,
https://www.youtube.com/watch?v=RCvnytndd9c,"Last To Leave VR Wins $20,000",4 years ago,135M views
,,,
https://www.youtube.com/watch?v=AA-VpIj8F5Y,"Last To Stop Running Wins $20,000",4 years ago,105M views
,,,
https://www.youtube.com/watch?v=fWcSBWadolA,"Paying People $10,000 To Eat Ghost Pepper",4 years ago,39M views
,,,
https://www.youtube.com/watch?v=YyhKdOCwD7s,24 Hours In The Most Haunted Place On Earth,4 years ago,109M views
,,,
https://www.youtube.com/watch?v=ha4tRQwKIUg,I Bought Everything In A Store - Challenge,4 years ago,139M views
,,,
https://www.youtube.com/watch?v=xRwy_rKc7gI,World's Largest Bowl Of Cereal,4 years ago,162M views
,,,
https://www.youtube.com/watch?v=H1WBdh56Vq4,Spending 24 Hours In A City With No Laws,4 years ago,144M views
,,,
https://www.youtube.com/watch?v=xhIYirjB4Yc,"Giving $10,000 To Random People And Saying Nothing",4 years ago,71M views
,,,
https://www.youtube.com/watch?v=HfJMs4mrSJM,Molten Lava Vs Giant Ice Block Experiment,4 years ago,89M views
,,,
https://www.youtube.com/watch?v=tYHTVjfShOA,"Anything You Can Carry, I'll Pay For Challenge",4 years ago,85M views
,,,
https://www.youtube.com/watch?v=JTQcIR2ZxU4,Homeless Man Buys A Lamborghini,4 years ago,141M views
,,,
https://www.youtube.com/watch?v=xpNeg0hPZIs,Playing Battleship With Real Ships,4 years ago,37M views
,,,
https://www.youtube.com/watch?v=9yrdFAJUSaU,"Donating $100,000 To Shroud In Real Life",4 years ago,31M views
,,,
https://www.youtube.com/watch?v=i2O6GMpNWGo,"Last To Leave The Tesla, Keeps It Challenge",4 years ago,102M views
,,,
https://www.youtube.com/watch?v=Y6jC6VaO3j0,"Donating $100,000 To Streamers With 0 Viewers",4 years ago,89M views
,,,
https://www.youtube.com/watch?v=Ooke4YZv8Ts,Surviving 24 Hours Straight In A Desert,4 years ago,126M views
,,,
